id,stateAbbrev,streetAddr1,streetAddr2,city,zip,zipExtended
1,TN,5510 Pierstorff Hill,,Ol Kalou,78989,
2,MI,308 5th Plaza,,Shuiquan,97598,9979
3,LA,63 Bowman Lane,,Luna,92989,9988
4,OR,4701 Weeping Birch Drive,,Kushiro,96956,8958
5,VI,722 Drewry Circle,,Ogawa,99998,9888
6,TX,7672 Schiller Place,,Pangawaren,79398,
7,GU,0 Weeping Birch Hill,,København,98999,8989
8,HI,3 Mendota Circle,#968h,Būrewāla,58999,8979
9,DC,51 Petterle Plaza,,Longxi,98899,9968
10,CA,77374 Sutteridge Terrace,,Luodong,89999,5998
11,VI,66 Paget Parkway,,Sollefteå,38799,
12,SD,663 Debra Circle,,Cusapín,97989,9967
13,VA,63 Bartelt Place,,Xique Xique,68188,9977
14,IL,2 Badeau Junction,,Monino,79798,
15,GA,2 Sundown Court,,Sanhe,97949,9899
16,GA,32 Fallview Plaza,,Põlva,99998,
17,IA,7 Lillian Park,,Qiling,99989,
18,NH,133 Old Gate Pass,#979Z,Sinchao,87698,9599
19,KS,24 Bashford Drive,#699F,Jiquinlaca,99798,
20,OK,99 Hoffman Circle,#999A,Vienne,87899,
21,AR,377 Longview Avenue,,Curridabat,99969,8999
22,WI,228 Lakewood Crossing,,Jessore,98798,
23,CT,02936 Rieder Way,,Lindian,98497,
24,OR,3445 Aberg Parkway,,Rufino,99999,
25,WY,236 Melvin Junction,,Santiago,89999,
26,ID,744 Jay Park,,Pilar,99899,8988
27,AS,8510 Cardinal Terrace,#979o,Al Başrah,99988,9897
28,NM,536 Merchant Park,,Motong,68969,5999
29,GU,432 Jay Terrace,,Wenfang,79996,9986
30,DE,66 Northport Court,#999q,Acarigua,86999,
31,MS,8614 Northport Hill,,Pacar,88688,
32,OR,0006 Debra Drive,,Villefontaine,89988,9999
33,VI,1098 Elgar Drive,,Granica,78999,8989
34,LA,441 Corben Street,,Pinega,99795,
35,CO,3335 Charing Cross Way,,Cikalang,58978,8958
36,OH,448 Waywood Pass,#899C,Tayabo,59889,
37,MA,3636 Moland Place,,Kafr Thulth,94967,6989
38,VA,363 Independence Road,,Oemanu,98999,
39,MA,0 Hoard Park,,Kochani,99998,
40,OK,4302 Marquette Park,,Pereiras,98899,
41,IL,98 Bartelt Avenue,#799M,Taurisma,79996,
42,SD,10251 Buhler Lane,,Ngerengere,69989,
43,IA,2 Del Sol Road,,Chonglou,99899,9995
44,AR,05488 Hermina Street,#869G,Daxi,79798,
45,VI,5707 Ridgeway Trail,#996a,Camocim,79689,8788
46,LA,54751 Fuller Way,,Nanqi,99999,
47,SD,8 Messerschmidt Circle,,Chonglou,79988,9978
48,MI,56 Spenser Parkway,,Lanjaghbyur,89969,7768
49,MI,6764 Corscot Circle,,Shaoha,65948,7679
50,LA,538 Hollow Ridge Drive,,Jongorsari,99999,8889
51,TN,23685 Calypso Road,,Fès,74999,
52,PA,222 Kim Junction,,Senahú,89999,8999
53,TN,5802 Briar Crest Avenue,#997F,Putou,89998,
54,KY,06 Mitchell Point,,Karmai,79999,
55,KY,94521 Goodland Park,,Kenscoff,89969,8999
56,NY,0 Forest Run Alley,,Hongwansi,89998,
57,AL,44 Northridge Park,,Barretos,99989,9998
58,WA,8636 Beilfuss Trail,,Lisovi Sorochyntsi,99379,9888
59,WA,99 East Lane,,Lañgub,78983,
60,AZ,737 Donald Pass,#689s,Limoges,97379,
61,ND,50263 Menomonie Parkway,,Bálsamo Oriental,99998,
62,KY,82 Burrows Alley,,Le Mans,99698,
63,NV,0512 Derek Terrace,,Kuloy,93899,5999
64,IN,7722 Glacier Hill Place,#759R,São Marcos da Serra,99599,9899
