id,shelterId,orgId,individualId,amount,whenDonated,recurrence
1,619,,1,790.72,2015-11-20 09:15:36,
2,883,,2,665.57,2015-08-30 14:47:23,
3,358,,3,534.48,2015-11-07 09:38:06,
4,436,,4,833.33,2016-01-14 06:14:01,
5,94,,5,362.3,2015-11-03 09:40:14,
6,600,,6,141.41,2015-12-09 17:13:14,
7,269,,7,744.6,2015-09-23 11:15:08,
8,143,,8,659.75,2016-01-29 18:30:35,
9,604,,9,31.73,2016-03-27 11:55:25,
10,3,,10,312.09,2016-01-17 02:05:41,
11,580,,11,708.43,2015-12-13 22:46:10,
12,180,,12,809.48,2015-12-05 18:38:44,
13,496,,13,410.65,2016-03-04 05:09:46,
14,517,,14,991.67,2016-02-17 03:01:12,
15,473,,15,279.58,2015-10-19 06:57:52,
16,51,,16,44.03,2016-02-13 21:26:19,
17,291,,17,721.62,2016-04-15 14:01:01,
18,667,,18,895.67,2015-10-29 06:47:43,
19,445,,19,962.02,2015-10-14 16:36:07,
20,252,,20,77.0,2015-12-28 22:29:23,
21,865,,21,210.4,2015-12-13 10:50:22,
22,498,,22,441.55,2015-09-13 06:10:34,
23,224,,23,366.39,2015-07-06 20:59:36,
24,54,,24,44.57,2015-08-02 09:34:53,
25,694,,25,673.36,2016-04-25 20:08:50,
26,345,,26,441.09,2016-02-04 13:01:51,
27,676,,27,846.63,2015-07-06 06:38:55,
28,864,,28,460.24,2015-07-17 07:12:22,
29,381,,29,940.76,2015-12-27 06:17:34,
30,270,,30,153.1,2016-02-12 20:10:56,
31,364,,31,267.73,2016-02-25 20:46:03,
32,929,,32,787.26,2015-12-21 20:53:41,
33,174,,33,680.94,2015-06-29 14:05:47,
34,829,,34,106.95,2016-03-16 07:46:59,
35,375,,35,804.99,2015-12-26 23:39:44,
36,224,,36,842.06,2016-03-24 13:17:36,
37,539,,37,3.08,2015-12-07 22:06:13,
38,705,,38,906.9,2016-03-05 11:07:08,
39,479,,39,958.78,2016-01-11 23:36:22,
40,285,,40,49.2,2016-03-21 22:40:57,
41,595,,41,658.76,2016-05-26 21:53:19,
42,219,,42,472.25,2015-06-27 03:41:05,
43,240,,43,118.86,2015-11-04 16:03:57,
44,303,,44,457.67,2015-09-07 22:29:45,
45,135,,45,734.57,2016-03-14 04:21:32,
46,127,,46,383.71,2015-05-29 09:27:17,
47,621,,47,352.3,2016-01-25 18:25:21,
48,718,,48,288.03,2016-03-12 05:05:19,
49,685,,49,41.67,2016-01-23 20:24:47,
50,663,,50,863.03,2015-10-07 12:06:44,
51,851,,51,763.73,2015-10-05 15:39:09,
52,825,,52,6.83,2015-12-06 23:09:30,
53,584,,53,64.38,2015-06-12 21:40:09,
54,747,,54,531.53,2015-10-15 09:07:39,
55,521,,55,169.55,2016-01-12 19:59:28,
56,225,,56,568.76,2016-04-23 10:34:25,
57,1,,57,462.38,2016-03-18 01:55:58,
58,160,,58,125.53,2015-07-20 15:11:16,
59,319,,59,237.74,2016-04-15 03:20:27,
60,411,,60,953.52,2016-01-15 04:54:03,
61,86,,61,844.69,2016-05-26 13:59:53,
62,59,,62,917.12,2015-06-03 04:53:54,
63,595,,63,665.56,2015-08-29 21:02:38,
64,347,,64,233.81,2016-04-04 14:31:19,
65,396,,65,794.9,2015-09-26 13:55:38,
66,312,,66,123.71,2015-09-13 20:59:05,
67,239,,67,290.4,2015-11-27 23:55:26,
68,18,,68,572.01,2015-11-11 20:59:04,
69,198,,69,627.4,2016-01-31 10:12:12,
70,263,,70,556.11,2015-06-08 21:31:54,
71,193,,71,166.96,2016-02-03 04:16:16,
72,247,,72,632.19,2015-08-01 14:44:06,
73,366,,73,765.44,2015-09-10 14:07:38,
74,234,,74,321.7,2016-04-02 14:56:19,
75,788,,75,314.64,2016-05-12 13:02:58,
76,626,,76,357.36,2016-05-12 10:27:22,
77,227,,77,799.83,2015-07-04 22:55:12,
78,241,,78,531.91,2015-12-02 20:52:43,
79,439,,79,423.01,2016-05-25 19:37:57,
80,810,,80,734.21,2015-09-03 16:54:12,
81,923,,81,204.68,2015-08-14 21:10:13,
82,530,,82,179.34,2015-08-13 21:21:53,
83,872,,83,684.05,2016-01-20 23:32:39,
84,285,,84,19.7,2016-01-05 12:19:03,
85,989,,85,597.5,2016-02-19 05:16:13,
86,73,,86,841.35,2015-10-30 22:56:43,
87,444,,87,795.23,2016-01-01 18:09:46,
88,606,,88,990.04,2016-01-19 18:13:23,
89,190,,89,20.05,2016-04-09 20:33:11,
90,884,,90,864.96,2016-05-03 01:07:31,
91,463,,91,242.47,2015-10-12 17:12:01,
92,165,,92,212.55,2016-05-20 03:05:17,
93,543,,93,246.46,2016-04-22 02:57:30,
94,344,,94,7.7,2016-03-14 20:09:51,
95,523,,95,191.62,2015-06-10 18:01:45,
96,780,,96,608.27,2015-07-10 16:39:04,
97,968,,97,611.79,2015-08-11 14:18:29,
98,393,,98,335.93,2016-02-22 07:52:45,
99,332,,99,602.55,2016-04-13 00:16:24,
100,302,,100,708.4,2016-05-08 07:29:47,
