id,shelterId,individualId,orgId,amount,whenDonated,recurrence
251,984,1,,678.5,2015-07-03 14:38:00,
252,878,2,,719.07,2016-05-15 20:38:38,
253,826,3,,78.62,2015-08-11 13:46:26,
254,838,4,,843.5,2016-02-08 18:51:22,
255,964,5,,91.01,2016-05-14 07:24:58,
256,282,6,,443.62,2016-04-27 02:04:38,
257,149,7,,434.59,2015-11-01 00:30:26,
258,267,8,,904.33,2015-12-09 02:25:18,
259,775,9,,522.17,2015-07-23 03:40:37,
260,490,10,,91.42,2015-06-26 04:55:40,
261,362,11,,310.38,2015-12-01 23:38:38,
262,618,12,,532.49,2015-10-01 04:56:40,
263,945,13,,726.26,2015-08-13 23:01:55,
264,930,14,,841.94,2016-04-09 23:54:46,
265,132,15,,685.15,2016-02-14 04:08:22,
266,89,16,,209.84,2016-01-29 14:01:29,
267,28,17,,575.77,2015-11-10 19:50:14,
268,799,18,,422.52,2015-10-08 15:42:22,
269,610,19,,519.52,2016-01-14 23:01:17,
270,403,20,,207.53,2015-08-09 16:51:22,
271,365,21,,379.78,2016-04-19 21:06:46,
272,864,22,,228.38,2015-10-06 18:33:56,
273,128,23,,385.66,2016-01-26 12:16:07,
274,273,24,,949.48,2015-12-26 01:40:44,
275,316,25,,541.97,2016-05-05 05:34:12,
276,597,26,,361.76,2015-05-31 22:04:17,
277,833,27,,532.63,2015-06-17 20:24:29,
278,529,28,,271.85,2016-01-25 08:01:40,
279,542,29,,106.64,2015-09-23 18:02:08,
280,16,30,,989.09,2016-05-23 06:13:25,
281,877,31,,201.75,2015-08-10 04:49:17,
282,904,32,,749.67,2015-07-07 14:54:42,
283,116,33,,987.52,2015-10-30 04:00:30,
284,319,34,,416.18,2015-12-29 20:01:13,
285,750,35,,949.52,2016-03-28 08:22:43,
286,153,36,,325.28,2015-06-06 22:24:46,
287,550,37,,833.45,2016-02-04 13:45:41,
288,437,38,,852.13,2015-10-31 17:08:29,
289,323,39,,973.54,2016-01-21 19:53:13,
290,426,40,,511.84,2015-08-08 18:31:57,
291,293,41,,945.64,2016-02-16 12:50:08,
292,336,42,,760.04,2015-09-01 18:24:34,
293,793,43,,650.43,2015-12-12 06:39:02,
