shelterId,itemId,count
27,228,782
552,927,2600
158,980,2946
58,232,3439
797,122,2945
998,725,3793
198,708,267
86,745,4909
976,753,3628
233,164,4051
878,10,1698
246,122,4733
872,97,3234
363,604,4384
225,362,1831
968,500,1652
164,121,1911
764,765,3761
708,917,3165
512,527,4385
371,292,1797
353,83,4908
565,610,3806
891,366,2661
357,737,1371
555,980,4911
900,550,1205
74,124,3877
943,235,1432
734,876,4824
23,794,2891
533,452,87
407,148,1914
273,940,1512
611,956,1173
536,243,433
7,681,4677
954,869,1657
118,443,4780
813,135,1277
40,962,4970
527,964,2742
468,732,305
304,118,4830
144,801,1929
39,780,3898
554,837,452
250,551,2652
61,240,826
261,325,4008
933,392,1517
703,187,2699
837,276,3068
814,628,2944
927,589,4069
712,504,4437
492,442,284
41,560,1508
917,482,4397
459,73,3766
55,656,4361
638,550,1364
676,197,3199
39,554,4440
772,20,3208
566,779,1376
738,421,1191
344,644,13
304,847,387
82,553,1036
968,66,3514
826,510,3226
50,638,1331
660,734,1012
315,469,1830
78,878,4102
657,18,988
631,436,1838
504,728,4742
694,19,2964
268,150,1563
43,844,2758
767,930,572
117,81,4689
370,802,3247
611,111,1200
561,918,663
801,818,3983
473,775,3165
574,37,2967
499,339,1064
793,431,3880
278,446,1811
957,13,1731
282,628,3410
443,43,4933
943,824,3837
684,125,1356
103,705,368
596,984,4079
235,49,3903
17,660,2264
733,53,4736
924,214,2385
231,457,2303
92,538,2697
352,889,1567
844,302,423
562,325,1628
288,433,3939
708,30,4832
385,251,957
845,729,4344
926,180,52
133,407,931
166,619,1084
768,737,1910
781,829,1374
665,687,1635
917,292,4893
74,203,574
108,549,477
853,927,2214
474,84,2561
145,462,4376
874,867,4156
591,659,4129
319,460,3449
469,841,4753
602,981,4615
558,3,771
169,814,3467
740,139,543
178,106,1648
2,398,1715
740,763,4615
69,193,4530
872,916,2999
543,514,4854
805,678,2115
916,668,4928
377,24,3350
879,416,4510
635,453,678
548,821,1476
720,119,4770
915,823,4955
895,466,989
65,600,442
901,215,3468
372,107,4825
11,579,1433
648,619,4396
115,870,1708
791,667,2499
110,493,190
37,526,1573
469,877,2212
976,527,4224
250,820,1442
1000,166,749
813,69,2429
442,225,3604
264,687,2866
402,22,3706
847,96,1397
778,632,2532
718,908,2632
827,532,4969
140,17,775
168,515,1253
67,963,2357
17,433,2242
503,478,4742
461,518,2472
220,434,1418
368,732,1123
199,884,3587
539,636,2484
588,27,2871
891,729,857
487,63,1988
928,321,701
105,152,3805
277,235,3649
914,224,3004
439,552,2680
5,107,2736
331,694,4109
454,988,3302
903,816,2796
402,534,2363
386,1000,1256
186,139,1648
763,721,4023
337,297,4057
672,944,2709
358,322,1001
148,518,3774
393,944,1652
317,579,613
757,502,4617
152,980,4226
657,45,820
534,696,2517
492,721,723
295,149,1400
105,554,866
521,942,674
727,855,3571
262,75,3503
498,660,2455
343,246,310
135,448,3474
620,575,2003
662,489,3365
233,650,791
731,802,3409
705,923,4888
736,260,2042
456,370,1200
554,23,1335
542,335,427
972,977,566
739,452,4598
945,311,1750
932,216,4110
190,205,4235
896,180,2237
500,57,1723
741,492,3282
89,565,2543
378,133,780
191,557,1348
239,933,832
636,143,2886
167,309,2705
474,361,1743
802,672,546
506,215,1246
705,921,4681
873,201,1470
111,429,4753
526,118,632
652,576,1877
656,189,3418
110,795,3663
603,505,2614
599,373,540
336,796,4500
483,545,1650
481,833,547
635,416,1543
160,210,3076
273,786,441
223,220,2119
58,353,149
133,859,4295
316,324,2160
907,956,470
259,314,3162
849,827,4221
661,129,3416
36,541,4457
260,871,3728
377,155,4119
424,205,168
693,415,1305
963,74,617
262,353,70
417,141,2870
922,552,3829
546,396,1812
231,445,1124
321,650,642
59,27,736
974,279,3327
147,444,3691
290,310,3140
158,9,467
885,763,2616
229,36,1631
546,477,4915
913,581,3826
674,622,1667
167,484,1751
250,84,914
881,454,4757
621,864,4529
508,413,312
529,304,1618
334,197,1144
3,268,1089
89,588,2916
515,944,2901
829,730,79
93,559,3146
238,96,2727
600,885,2800
492,684,4901
289,48,4595
586,467,147
580,102,3093
707,906,1312
21,109,3587
971,45,3347
969,275,3228
298,681,577
756,37,3307
103,875,1695
421,60,2692
20,15,344
12,297,2347
250,864,4562
217,442,4684
497,639,3065
780,534,2792
807,377,1660
35,665,4114
177,914,2530
498,422,3050
372,661,4305
499,455,3768
662,889,2895
25,858,1762
497,896,1966
875,530,190
17,689,3768
830,738,3091
133,547,2047
785,135,2131
754,541,3355
724,339,2422
260,756,2769
391,490,1575
143,911,4094
828,447,668
476,991,3644
881,942,4864
460,221,254
372,323,3628
765,723,1614
57,606,4679
554,798,2358
720,265,4799
742,586,957
963,381,1878
653,491,513
64,797,4526
348,704,4642
612,974,824
167,109,3263
440,331,529
130,361,3128
872,188,423
723,229,3982
404,424,2516
239,118,2585
343,835,3117
354,921,408
87,236,4763
851,855,2094
665,233,3919
950,886,1684
499,345,3087
862,177,2975
445,701,1569
221,536,3027
930,942,1932
758,641,3771
865,238,1282
565,681,4324
548,841,457
208,928,2655
812,645,1240
770,462,2797
597,981,2193
363,520,194
57,520,3951
576,662,907
399,923,1174
909,84,41
301,542,453
480,406,2862
570,208,4959
888,830,965
15,993,4602
338,867,1801
899,492,4653
367,831,1455
214,666,1816
137,503,1216
83,326,2822
860,10,1749
859,211,1128
585,975,2576
682,990,3836
747,356,1110
337,544,910
921,698,1244
686,844,1327
852,563,2457
575,114,79
787,49,2925
334,345,144
497,895,3635
246,828,1538
827,121,3718
219,211,3270
352,623,4667
491,226,2954
113,499,578
921,867,3042
628,794,3706
983,895,3684
772,285,2152
301,457,3079
212,120,939
698,898,716
327,624,2865
987,740,2596
493,798,2591
164,637,2875
715,224,1083
731,613,2019
863,115,4671
917,485,775
73,14,3632
868,605,4031
545,614,3833
734,255,972
148,303,2556
793,543,2184
725,974,2122
744,774,296
