shelterId,no,capacity,occupancy
1,AT70,3,2
2,9X,4,2
3,L9QD,1,1
4,7GX,3,1
5,Y1488,3,1
6,W3106AW,2,2
7,9742,1,1
8,K1168PA,2,1
9,9,2,2
10,KT387PJ,1,1
11,IB3091Y,3,3
12,OQ020,2,1
13,I32Q,4,2
14,YJ3BF,3,1
15,N2,4,0
16,G61,3,1
17,D1409CV,1,1
18,999ID,2,0
19,AH369ZP,3,2
20,M4336NM,4,4
21,VM337,3,0
22,AS4,4,1
23,A2M,5,0
24,Z3992DV,5,5
25,M2712NE,4,1
26,TZ971,2,1
27,NH0354UQ,1,1
28,G016,3,3
29,BY9,2,0
30,RP53,2,0
31,9651Y,4,1
32,HV791,4,1
33,ZJ7,2,2
34,V4849H,3,3
35,KO01,2,2
36,88,4,4
37,MW1WF,4,3
38,0216EP,4,4
39,6138X,2,1
40,7,3,2
41,K6567R,5,3
42,0,5,3
43,AB3566O,3,1
44,296,5,1
45,W89CH,5,0
46,879,5,4
47,WF8773O,5,3
48,W809MD,1,1
49,F260HO,3,2
50,JH6ZE,3,0
51,Y099,4,3
52,494L,5,3
53,47G,5,4
54,53WI,2,0
55,TO920I,1,0
56,UP76M,3,0
57,HK9203J,4,3
58,0803,5,1
59,QL3811,1,0
60,W50,2,2
61,860,4,1
62,S01Z,1,1
63,MU8181F,3,1
64,WV2HA,3,1
65,Z083,1,0
66,NM1701I,1,0
67,5C,3,1
68,6KV,3,1
69,21,1,0
70,J674,3,1
71,P4802KD,4,2
72,GC9,2,2
73,15L,5,4
74,L8AX,4,3
75,C12Q,3,1
76,9IU,5,4
77,GF7354HC,4,3
78,2876,4,0
79,7M,5,5
80,ZG418PH,4,2
81,K8Q,5,5
82,S8BJ,2,0
83,6,5,1
84,L5002,2,2
85,945,4,1
86,B822,1,1
87,0259,4,3
88,3ER,1,0
89,413WB,1,1
90,G9IZ,4,4
91,FV63LX,1,0
92,M14KS,3,0
93,B8161JI,1,0
94,D7P,3,3
95,UM80R,4,2
96,VX4,5,4
97,5QV,3,1
98,34WU,5,2
99,0W,2,0
100,HN3,3,2
101,XW0,5,2
102,AG20O,3,2
103,J6AX,3,1
104,GX4TD,4,0
105,W394,2,0
106,B65Y,1,0
107,Q5918,4,3
108,640D,3,3
109,585,3,0
110,6,2,1
111,71F,2,1
112,3648E,4,2
113,OK62PA,4,1
114,CD356SP,2,1
115,556V,2,1
116,980,4,1
117,IU829,2,2
118,72MY,3,3
119,79G,5,2
120,OM829W,3,3
121,T0956,2,2
122,YE696,4,2
123,Y779,2,1
124,3892BS,3,0
125,23TY,5,3
126,4979K,5,5
127,82EF,2,1
128,49,4,1
129,6P,3,0
130,4771,5,3
131,I1800LR,4,3
132,P2DZ,3,1
133,85,2,0
134,YC81U,5,1
135,D7Z,1,1
136,MR2674,4,2
137,YC3,5,1
138,37,3,2
139,F6,4,1
140,Q393CS,4,2
141,58O,3,2
142,Q406,3,3
143,K0766VA,1,1
144,V53,3,2
145,MH8281X,4,0
146,TK7,1,1
147,IQ7507,3,1
148,F728E,3,0
149,537,1,1
150,W5852NU,5,2
151,861S,3,1
152,170N,4,0
153,07,2,2
154,HY558V,5,3
155,ZI98PR,3,2
156,IS8403JG,1,0
157,83M,2,0
158,M832,2,1
159,J3,3,2
160,R7206,4,1
161,WD2A,4,2
162,LJ3093,3,0
163,F8567Y,2,0
164,0RL,1,0
165,D442,5,0
166,JK8200JX,2,1
167,JY5181,3,3
168,6WL,3,1
169,459YX,2,2
170,OG318K,5,0
171,8362,4,2
172,KB2,3,0
173,DZ1,3,1
174,YZ3784C,2,1
175,TE4052,3,2
176,K12WU,2,1
177,P9007,2,1
178,9846J,3,1
179,YN33,2,1
180,AP6481P,3,2
181,M720NK,4,0
182,738,3,0
183,6034,3,2
184,EG6,2,2
185,07SP,4,0
186,B7462,3,2
187,V6,3,0
188,P0398,4,0
189,060K,4,2
190,DR113B,1,1
191,V13I,2,2
192,Z3,4,4
193,OL260,3,1
194,O68JS,5,4
195,32B,3,2
196,DY540,5,1
197,S91UT,3,0
198,XZ289N,1,0
199,LP675XR,3,2
200,T17UK,3,1
201,598K,2,2
202,VY42B,2,1
203,R662,2,0
204,4,5,3
205,J94I,5,3
206,X8518,5,3
207,178CA,1,0
208,MU26GZ,4,2
209,QL4389S,4,0
210,S54H,1,0
211,LC5K,3,1
212,2,4,3
213,B403,4,4
214,6877SI,5,4
215,LD2364LI,2,2
216,N1,2,0
217,K249,2,1
218,9255CI,5,2
219,UM83,2,2
220,E035K,3,1
221,BD316P,3,3
222,67N,2,0
223,3187T,2,1
224,O996N,5,0
225,1YD,1,0
226,5085,1,0
227,836,4,4
228,4502,5,5
229,U7QS,5,1
230,WY90,5,0
231,LM49,1,1
232,Z7169,4,2
233,YN8D,2,0
234,7510,1,1
235,3868I,5,3
236,G19,5,1
237,B2,3,2
238,0015,4,0
239,92CS,1,1
240,CN4EU,5,2
241,U618,3,1
242,KP1527,4,0
243,L572HR,1,1
244,8F,4,0
245,5AR,5,5
246,8,2,2
247,EH3B,3,2
248,UR78DK,2,2
249,KS286NL,4,2
250,X0530,5,2
251,8086J,2,1
252,6,2,0
253,L80KJ,5,5
254,12,5,2
255,PO414R,1,0
256,6552,1,1
257,42,2,1
258,F8303P,2,1
259,128X,4,4
260,AL8Z,5,3
261,NM606H,2,2
262,3,2,1
263,G7,4,3
264,510GY,4,3
265,IV351BG,5,4
266,QF723,3,2
267,6Y,3,0
268,18,3,0
269,9U,4,3
270,N1170,4,4
271,M9306B,1,0
272,Z59BR,3,0
273,4N,5,1
274,1G,4,0
275,ON0246K,1,1
276,X84S,2,2
277,P085,5,1
278,IU224DO,1,1
279,Y06YQ,3,1
280,4,5,3
281,00RE,2,1
282,16S,2,2
283,F7,1,1
284,75ZI,5,0
285,322ZM,2,2
286,515,1,1
287,UV7671MP,2,2
288,AX1,1,0
289,3,2,0
290,7580,5,0
291,K002,5,4
292,W8AR,2,0
293,BG2179Q,5,0
294,MD529,3,1
295,414,2,0
296,R15G,5,5
297,YH86,4,2
298,IU013F,3,2
299,JM116,3,3
300,AO2968,1,1
301,78MJ,1,1
302,UK75FD,5,4
303,WA64K,5,0
304,R05DJ,3,3
305,9Z,5,3
306,IA18ZH,4,1
307,YV3X,2,2
308,3061ZV,3,3
309,CL31,2,0
310,6518,5,4
311,CH7E,4,3
312,6KP,1,0
313,H3Q,3,2
314,46BR,4,3
315,QK1805,4,4
316,AL6669,5,5
317,HV9862W,1,1
318,4805GY,1,0
319,J1516C,3,3
320,S313HE,2,2
321,322,5,1
322,O9D,4,0
323,U95,5,5
324,V7059,3,2
325,4LH,2,0
326,8,5,5
327,QD582JZ,3,3
328,DJ6N,4,2
329,PB8325IU,3,3
330,3GQ,4,4
331,B48GR,3,1
332,WK76Y,1,1
333,257NI,4,3
334,YR45Q,1,0
335,22VA,4,2
336,696QL,3,1
337,89Q,5,5
338,14SY,2,1
339,013NT,5,4
340,B46,3,3
341,657JP,4,3
342,K81Q,3,2
343,I0361AN,2,2
344,CT875,1,1
345,WC544Q,3,1
346,6227JL,5,0
347,TJ787Q,2,1
348,5JH,2,1
349,32,2,2
350,NK10ZU,2,0
351,9HT,1,1
352,DS0VJ,5,1
353,1364TU,3,2
354,F26XT,3,2
355,47NQ,4,4
356,329,2,0
357,880,5,0
358,AX77P,5,3
359,FD82L,1,1
360,1,3,3
361,U2472M,2,0
362,PB85I,1,1
363,FI2U,3,1
364,TO046P,3,2
365,S9YQ,2,2
366,K398E,4,2
367,2DN,1,0
368,YN3072ZS,5,4
369,U0894U,4,4
370,EG293DL,5,0
371,T0,3,0
372,ND991B,3,2
373,A3205AZ,5,4
374,7,3,3
375,EC748EU,2,2
376,617K,2,2
377,K42NX,1,1
378,33,4,4
379,8,5,2
380,OA96T,1,1
381,WE710I,5,1
382,463,5,0
383,OT520B,1,1
384,XY7,2,0
385,FI276SR,4,2
386,749QA,5,1
387,H808G,1,0
388,01,4,1
389,YN6243K,5,5
390,L0249JA,4,1
391,R2675,4,4
392,371PU,2,2
393,HF694WL,3,2
394,6Y,1,1
395,9S,2,0
396,871,3,0
397,1098I,4,0
398,UQ572O,1,0
399,95,1,0
400,UO3718MV,1,1
401,DW7943NJ,5,2
402,HZ915,1,1
403,6198W,2,2
404,FI0,4,4
405,E809J,2,2
406,Y2,5,4
407,K4982JK,1,1
408,V6307CK,3,2
409,XQ6,4,2
410,YR11C,5,5
411,J30NI,1,0
412,050JL,3,3
413,460U,4,3
414,TE45KE,5,5
415,OH04EO,5,0
416,4772,4,2
417,ZF860H,4,0
418,Q04WD,5,3
419,711YJ,4,0
420,H35,5,5
421,19I,2,1
422,T127K,2,1
423,H29GW,5,3
424,3009C,2,1
425,GQ5K,5,0
426,SC5,2,2
427,05ZX,3,0
428,9D,5,3
429,H3,5,3
430,LE6129JK,1,0
431,K997,2,1
432,508OB,5,5
433,ZU51,1,0
434,D69,2,0
435,MW104,1,1
436,962M,1,0
437,HQ409W,3,1
438,I1,5,5
439,0,3,3
440,765T,5,0
441,O1HC,5,1
442,4291NG,1,0
443,D56B,4,0
444,O8920,1,0
445,T7498XS,5,4
446,6089Q,1,0
447,J8DL,4,2
448,991J,5,1
449,V1,2,2
450,LV80MP,4,2
451,J56O,3,3
452,YN1269,2,2
453,T82M,3,0
454,159,4,0
455,H293,3,1
456,Q7ED,4,1
457,I8705P,4,4
458,J629,5,4
459,GE1203,5,3
460,52PK,2,1
461,TE31,4,2
462,K104DP,5,4
463,L7D,4,0
464,ZN186M,3,0
465,CP35X,2,0
466,9O,3,2
467,361,4,0
468,FL88,2,1
469,YP380,2,0
470,9OD,1,1
471,Y3O,5,1
472,216KT,2,0
473,Q8V,3,1
474,3399EL,4,2
475,M46P,1,1
476,KJ6720Y,2,1
477,F964,2,2
478,3207,2,2
479,Y15TF,4,3
480,A66GR,3,0
481,EP55,5,5
482,D7917,3,1
483,IB09G,3,3
484,8010S,4,0
485,4ND,1,0
486,SQ5,1,1
487,590,4,1
488,VP8E,2,2
489,441,3,3
490,6MW,3,3
491,T8264MJ,2,2
492,L4461NH,4,0
493,I5777U,1,1
494,5,2,2
495,73Y,5,2
496,4OV,4,1
497,NP56BJ,3,2
498,E8,5,5
499,083Y,3,3
500,46E,4,1
501,PV3,1,0
502,931O,3,1
503,5,3,3
504,SE3126,5,1
505,1,3,1
506,4U,1,0
507,R52IH,4,2
508,OX3292IL,1,0
509,DO3167,1,1
510,G626Z,4,0
511,4,4,0
512,JR6K,1,1
513,1099I,5,2
514,8549,4,1
515,N975BW,3,1
516,NW6730RO,1,1
517,E116FV,2,2
518,6062,5,1
519,U8252,5,3
520,TB40,2,2
521,T607,1,1
522,57,3,3
523,529MA,3,2
524,U280,4,3
525,1869F,2,1
526,47,5,4
527,458UT,1,0
528,888QN,4,4
529,F2188TM,4,1
530,RE033MN,1,0
531,6,4,0
532,969H,2,1
533,75B,3,0
534,UF688PB,2,2
535,378X,4,4
536,SF218SV,4,2
537,4N,5,1
538,N51,2,2
539,J1CP,2,2
540,LY16,3,2
541,2,1,0
542,IJ16G,3,0
543,94,2,1
544,46,5,2
545,730G,1,0
546,R3X,5,5
547,VI3371MZ,2,0
548,GA85L,1,0
549,EA8U,3,3
550,7V,4,3
551,01B,2,2
552,M43XD,1,1
553,90,4,4
554,AU0254Z,5,2
555,53FP,3,1
556,3659L,3,3
557,308MZ,1,1
558,696UV,4,1
559,2U,5,1
560,71PL,4,3
561,93VP,4,2
562,AB956,5,0
563,3749TB,2,2
564,ZU2963Q,5,4
565,9P,4,2
566,W1484,2,1
567,H6I,5,1
568,CY787,4,4
569,CF91X,4,0
570,866W,2,0
571,UT8487UE,1,0
572,1Y,1,1
573,RV216K,1,1
574,S5296,3,1
575,H60E,4,2
576,92I,3,0
577,SA44FO,1,1
578,CV2162V,4,4
579,VZ8516,3,2
580,43,4,3
581,DS1,1,1
582,W728,3,0
583,UP7625LR,1,0
584,KU2E,5,2
585,MI9105,3,1
586,7434JD,4,1
587,1210,5,1
588,KY3T,1,1
589,F35SJ,5,5
590,JD5,3,2
591,QO65,2,0
592,270M,5,4
593,GI7633N,1,1
594,MO7,2,2
595,530P,4,4
596,MB50,4,0
597,V44HF,3,0
598,K332,2,0
599,XF7300,4,1
600,E92,2,2
601,LW60WC,5,0
602,AU781,4,1
603,RP7890G,4,0
604,PY621NA,3,2
605,5LC,3,0
606,940,5,3
607,QU1,2,2
608,44C,5,5
609,12,1,1
610,Z52GE,3,1
611,25,4,3
612,19,2,2
613,UY3PG,1,1
614,FY30R,5,4
615,77AU,4,2
616,4600L,5,1
617,F9Y,2,1
618,QA7299BD,3,3
619,6,1,1
620,XI10VC,1,0
