shelterId,serviceId
22,2
827,18
797,5
544,97
807,15
611,69
794,18
957,22
919,41
281,42
187,31
152,49
376,59
258,12
547,59
871,71
39,87
480,10
491,59
675,97
107,60
795,75
210,67
96,88
555,42
108,9
168,74
928,37
938,79
612,80
834,52
716,89
44,41
98,52
18,42
799,84
811,70
472,41
30,62
754,86
295,96
954,51
995,22
873,53
140,12
222,2
434,96
158,77
212,49
799,72
991,20
710,42
842,21
193,45
727,83
571,37
233,59
70,74
908,99
70,97
386,42
522,46
549,70
746,87
171,93
782,20
122,21
187,23
458,97
973,92
731,79
342,56
12,75
58,62
44,64
918,39
404,92
240,74
815,44
216,68
28,81
27,20
412,87
347,70
719,90
68,43
178,33
188,86
189,22
472,42
561,81
478,11
706,55
574,100
213,98
651,61
356,53
544,70
765,95
712,58
836,67
649,80
588,73
824,55
747,71
547,38
938,87
516,78
812,8
932,17
601,22
795,44
426,67
408,87
842,97
873,48
820,13
903,21
654,7
974,53
361,68
47,86
675,54
594,34
115,74
540,19
840,20
79,96
854,48
187,93
147,79
286,36
240,25
229,100
257,80
145,9
544,12
526,98
505,99
298,55
237,36
582,90
785,95
321,62
717,67
90,84
231,11
310,67
790,29
329,78
134,95
297,4
463,32
285,19
202,12
721,33
636,28
128,91
845,68
549,16
1000,37
245,51
563,7
492,42
186,16
933,16
878,82
203,83
687,55
715,4
99,48
580,98
708,44
71,16
470,15
150,71
234,93
864,44
61,5
882,88
571,19
577,85
230,67
225,11
179,94
863,94
740,42
568,73
929,31
4,31
851,29
676,53
743,4
210,3
758,56
113,17
162,17
952,99
683,70
569,47
108,23
949,31
642,12
529,4
466,73
101,98
857,23
792,71
201,6
533,7
499,6
820,5
474,69
37,71
644,93
295,50
46,66
231,81
801,27
527,8
906,47
179,47
361,43
223,24
389,28
144,91
767,10
746,32
717,33
389,26
568,24
931,87
572,48
347,86
499,93
133,18
366,1
924,40
837,40
677,22
573,1
914,77
797,21
867,64
885,17
484,17
245,98
862,19
354,97
781,49
951,67
746,53
440,72
450,40
840,48
322,57
151,24
752,83
307,62
375,48
596,12
899,28
928,57
106,82
518,33
938,72
908,9
323,7
855,45
872,52
848,24
125,55
202,8
672,79
547,9
962,24
393,13
981,90
255,3
561,61
20,80
363,59
226,66
847,45
104,56
47,93
681,24
413,20
997,85
852,49
193,85
544,67
947,30
264,62
493,49
681,38
325,43
725,91
579,81
326,45
907,20
787,97
456,25
338,53
43,65
556,94
366,15
450,36
802,77
696,26
59,47
421,53
929,17
342,37
178,35
296,78
475,31
459,68
694,90
731,56
365,88
133,22
631,5
395,77
670,4
460,81
89,65
175,61
99,55
198,48
408,25
466,37
775,97
545,76
79,79
213,37
122,76
496,42
87,30
325,50
715,30
31,18
512,78
245,1
76,37
79,50
832,18
837,53
591,87
356,51
230,39
146,95
499,86
535,11
76,48
566,93
60,35
834,48
9,15
310,30
479,41
307,52
425,12
971,18
626,91
537,13
767,87
658,68
261,76
661,1
190,34
993,13
835,52
93,28
35,97
990,42
220,73
115,45
696,11
564,75
399,6
492,28
506,69
605,62
869,5
224,36
948,85
792,15
899,45
20,59
14,7
509,26
326,54
218,11
36,62
672,77
61,56
465,21
62,24
494,92
696,87
941,55
836,41
981,100
823,71
975,59
118,92
197,90
3,15
203,67
501,27
827,31
260,10
535,41
13,39
312,62
359,74
934,48
464,18
61,68
396,71
989,28
434,40
691,86
487,5
249,4
177,98
717,88
831,6
441,83
669,32
176,74
107,90
204,23
780,54
235,90
596,82
430,46
393,15
501,70
268,46
513,89
581,10
705,82
256,29
913,48
619,69
926,69
89,6
456,56
990,56
739,69
372,67
83,56
446,90
332,22
451,9
948,44
527,45
277,70
552,20
957,17
713,22
121,17
725,16
440,26
957,34
125,95
656,24
396,7
928,92
876,72
559,38
308,35
752,50
137,36
686,49
899,94
380,23
741,43
350,49
938,25
555,18
919,35
369,8
