id,departmentId,start,"""end"""
1,593,2015-12-14 07:27:11,2015-12-14 15:27:11 UTC
2,540,2015-09-17 11:57:08,2015-09-17 19:57:08 UTC
3,301,2016-01-16 17:45:44,2016-01-17 01:45:44 UTC
4,485,2016-02-26 04:43:47,2016-02-26 12:43:47 UTC
5,232,2016-03-03 18:05:14,2016-03-04 02:05:14 UTC
6,308,2015-05-31 00:53:56,2015-05-31 08:53:56 UTC
7,27,2015-12-19 17:52:31,2015-12-20 01:52:31 UTC
8,853,2015-12-05 23:07:31,2015-12-06 07:07:31 UTC
9,71,2015-09-13 21:47:47,2015-09-14 05:47:47 UTC
10,735,2015-08-27 16:55:49,2015-08-28 00:55:49 UTC
11,390,2016-05-24 09:06:36,2016-05-24 17:06:36 UTC
12,727,2016-03-24 16:05:53,2016-03-25 00:05:53 UTC
13,317,2016-01-15 13:00:19,2016-01-15 21:00:19 UTC
14,954,2015-08-07 18:53:12,2015-08-08 02:53:12 UTC
15,735,2016-04-23 07:41:08,2016-04-23 15:41:08 UTC
16,589,2015-05-30 10:33:02,2015-05-30 18:33:02 UTC
17,935,2016-03-07 15:36:55,2016-03-07 23:36:55 UTC
18,767,2015-06-06 02:33:22,2015-06-06 10:33:22 UTC
19,387,2016-05-15 19:37:02,2016-05-16 03:37:02 UTC
20,735,2016-01-12 13:17:40,2016-01-12 21:17:40 UTC
21,531,2015-07-14 03:27:17,2015-07-14 11:27:17 UTC
22,640,2016-04-26 22:54:37,2016-04-27 06:54:37 UTC
23,602,2016-05-15 05:41:07,2016-05-15 13:41:07 UTC
24,176,2015-09-26 03:31:13,2015-09-26 11:31:13 UTC
25,674,2015-06-20 13:52:48,2015-06-20 21:52:48 UTC
26,957,2016-05-21 05:49:31,2016-05-21 13:49:31 UTC
27,644,2015-07-01 14:29:53,2015-07-01 22:29:53 UTC
28,145,2016-02-10 20:42:57,2016-02-11 04:42:57 UTC
29,906,2015-10-20 05:05:35,2015-10-20 13:05:35 UTC
30,397,2015-07-20 22:48:15,2015-07-21 06:48:15 UTC
31,191,2016-04-05 21:28:53,2016-04-06 05:28:53 UTC
32,25,2015-08-07 07:58:12,2015-08-07 15:58:12 UTC
33,443,2015-09-22 01:38:39,2015-09-22 09:38:39 UTC
34,304,2016-04-29 18:12:46,2016-04-30 02:12:46 UTC
35,948,2015-12-05 05:35:56,2015-12-05 13:35:56 UTC
36,567,2015-09-14 15:13:38,2015-09-14 23:13:38 UTC
37,854,2016-01-16 19:01:55,2016-01-17 03:01:55 UTC
38,360,2015-09-04 09:57:19,2015-09-04 17:57:19 UTC
39,742,2015-06-20 02:16:13,2015-06-20 10:16:13 UTC
40,694,2016-02-28 16:58:30,2016-02-29 00:58:30 UTC
41,830,2015-09-18 19:37:28,2015-09-19 03:37:28 UTC
42,21,2015-09-13 07:45:45,2015-09-13 15:45:45 UTC
43,952,2015-09-18 02:50:59,2015-09-18 10:50:59 UTC
44,842,2015-10-05 22:51:22,2015-10-06 06:51:22 UTC
45,37,2016-05-14 03:24:19,2016-05-14 11:24:19 UTC
46,567,2015-09-10 19:48:48,2015-09-11 03:48:48 UTC
47,767,2015-07-26 04:22:09,2015-07-26 12:22:09 UTC
48,281,2016-01-20 19:54:22,2016-01-21 03:54:22 UTC
49,362,2016-02-04 15:20:42,2016-02-04 23:20:42 UTC
50,876,2015-08-31 07:17:08,2015-08-31 15:17:08 UTC
51,989,2015-07-28 05:44:46,2015-07-28 13:44:46 UTC
52,932,2015-12-27 21:53:20,2015-12-28 05:53:20 UTC
53,771,2016-03-30 07:13:09,2016-03-30 15:13:09 UTC
54,79,2015-10-12 06:19:24,2015-10-12 14:19:24 UTC
55,988,2015-12-21 09:32:21,2015-12-21 17:32:21 UTC
56,719,2015-06-04 08:38:08,2015-06-04 16:38:08 UTC
57,110,2015-06-08 05:29:16,2015-06-08 13:29:16 UTC
58,254,2015-09-01 04:51:07,2015-09-01 12:51:07 UTC
59,330,2016-03-21 19:23:47,2016-03-22 03:23:47 UTC
